Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
3.3,0,0.47,7.54,2.59,11.1,133.50
4.4,0,0.24,13.55,3.05,8.9,122.00
4.4,0,0.33,13.37,3.34,15.6,114.80
4.4,0,0.30,9.45,3.07,16.7,114.50
5.6,0,0.21,13.60,3.89,16.7,113.90
6.7,0,0.23,14.04,3.39,17.8,113.40
6.7,0,0.16,14.42,3.34,18.9,111.50
7.8,0,0.15,14.76,3.35,15.6,110.50
6.7,0,0.26,8.17,3.17,16.7,110.50
6.7,0,0.24,14.40,3.20,17.8,110.50
6.7,0,0.16,11.06,3.77,18.9,110.50
6.7,0,0.13,14.87,4.24,17.8,110.50
6.7,0,,15.03,4.66,18.9,110.50
5.6,39.5,0.23,12.41,5.00,16.7,110.00
6.7,88,0.15,14.76,3.77,17.8,109.10
5.6,54,0.19,14.47,4.35,16.7,109.10
4.4,0,0.20,14.82,4.44,15.6,108.70
5.6,0,0.21,12.59,4.62,16.7,104.90
6.1,0,0.23,10.95,4.74,17.8,104.90
5.6,0,0.18,14.60,4.94,16.7,104.90
6.1,0,0.13,13.47,4.36,17.8,104.40
6.1,0,0.17,15.73,3.37,18.9,100.60
6.7,0,0.13,16.21,3.44,20.0,100.60
6.7,1.2,0.14,16.22,3.44,20.0,100.60
6.1,0,0.09,16.49,4.20,18.9,100.60
4.4,0,0.11,16.18,3.79,15.6,100.60
4.4,0,0.23,15.69,4.29,13.3,100.60
4.4,0,0.18,16.37,4.37,14.4,100.20
5.6,0,0.30,10.41,3.81,16.7,99.20
7.8,0,0.34,7.01,4.97,18.9,99.20
7.8,0,0.25,12.43,4.93,20.0,99.20
8.9,0,0.19,16.39,4.89,21.1,99.20
8.9,0,0.28,8.60,5.49,20.0,99.20
8.9,0,0.51,4.75,4.50,21.1,99.20
8.9,0,0.70,3.87,4.45,18.9,99.20
8.9,0,0.33,12.50,3.41,21.1,99.20
8.9,0,0.25,16.35,3.82,20.0,99.20
7.8,0,0.17,17.56,3.96,17.8,99.20
8.9,0,0.17,18.03,3.81,20.0,99.20
10.0,0,0.13,18.52,3.33,20.0,103.40
10.0,0,0.19,17.95,2.92,18.9,103.40
7.8,0,0.15,17.81,3.89,15.6,105.40
7.8,0,0.09,16.64,3.93,14.4,130.40
8.9,0,0.15,17.55,4.01,15.6,104.40
8.9,0,0.13,18.49,4.30,17.8,101.60
7.8,0,0.11,18.41,4.07,17.8,99.20
7.8,0,0.31,9.20,4.21,18.9,99.20
7.8,0,0.37,14.83,4.93,18.9,99.20
6.7,0,0.71,7.15,5.45,17.8,99.20
