PID,Item
1,"burgers,meatballs,eggs"
2,"mineral water,milk,energy bar,whole wheat rice,green tea"
3,low fat yogurt
4,"whole wheat pasta,french fries"
5,"soup,light cream,shallot"
6,"frozen vegetables,spaghetti,green tea"
7,"turkey,burgers,mineral water,eggs,cooking oil"
8,"spaghetti,champagne,cookies"
9,"mineral water,salmon"
10,"shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt"
11,"turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate"
12,"meatballs,milk,honey,french fries,protein bar"
13,"red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo"
14,"spaghetti,mineral water,ham,body spray,pancakes,green tea"
15,"burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste"
16,"parmesan cheese,spaghetti,soup,avocado,milk,fresh bread"
17,"ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope"
18,"mineral water,eggs,chicken,chocolate,french fries"
19,"frozen vegetables,spaghetti,yams,mineral water"
20,"herb & pepper,tomato sauce,light cream,magazines"
21,"mineral water,chocolate,avocado,eggs"
22,"turkey,french fries,strawberries"
23,"frozen vegetables,strong cheese,chocolate"
24,"pickles,spaghetti,salmon,escalope"
25,"red wine,ground beef,mineral water"
