TID,Item
1,"Lassi,Coffee Powder,Butter,Yougurt,Ghee,Cheese"
2,"Ghee,Coffee Powder"
3,"Lassi,Tea Powder,Butter,Cheese"
4,"Cheese,Tea Powder,Panner,Coffee Powder,Butter,Bread"
5,"Cheese,Yougurt,Coffee Powder,Sugar,Butter,Sweet"
6,"Sugar,Tea Powder,Ghee,Sweet,Panner,Milk"
7,"Sweet,Coffee Powder"
8,"Butter,Ghee,Panner"
9,"Sweet,Tea Powder,Butter,Yougurt,Sugar,Cheese"
10,"Panner,Ghee"
11,"Milk,Panner,Tea Powder,Sweet,Bread"
12,"Ghee,Coffee Powder,Milk,Yougurt,Lassi,Sugar,Butter,Panner"
13,"Butter,Coffee Powder,Panner,Sweet,Ghee,Lassi"
14,"Bread,Lassi,Coffee Powder,Tea Powder,Sweet,Ghee,Sugar,Panner"
15,"Milk,Sweet,Butter,Sugar,Lassi,Panner"
16,"Bread,Coffee Powder,Tea Powder"
17,"Butter,Ghee,Milk,Cheese"
18,"Bread,Coffee Powder"
19,"Cheese,Tea Powder,Sweet,Lassi,Coffee Powder,Sugar"
20,"Panner,Lassi,Butter,Cheese,Yougurt,Tea Powder,Milk"
21,"Coffee Powder,Cheese,Tea Powder,Yougurt,Sugar"
22,"Lassi,Ghee,Cheese,Sweet,Coffee Powder,Bread,"
23,"Coffee Powder,Panner,Butter,Ghee,Tea Powder,Yougurt"
24,"Yougurt,Sweet,Milk,Butter,Coffee Powder,Lassi"
25,"Sugar,Coffee Powder,Milk,Butter,Cheese,Yougurt"
